ID,Hierarchy,Object,Name,ShortName,Longname,Link,Length,Height,Depth,Row,Level,WIND,WIND_Top,WIND_Bott,WIND_Ks_Vert,WIND_Ks_Hor,Cornice
SchB_ID160920113137_656,1,FS353,Fassadenstein353,FS353_WFas_Schuetting,Fassadenstein353_WFas_Schuetting,WFas_Schuetting,"48,80","48,50","0,00",0,3,0,0,0,0,0,0
SchB_ID160920113137_657,1,FS354,Fassadenstein354,FS354_WFas_Schuetting,Fassadenstein354_WFas_Schuetting,WFas_Schuetting,"48,80","29,16","0,00",0,3,0,0,0,0,0,0
SchB_ID160920113137_658,1,FS355,Fassadenstein355,FS355_WFas_Schuetting,Fassadenstein355_WFas_Schuetting,WFas_Schuetting,"15,07","33,71","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_659,1,FS356,Fassadenstein356,FS356_WFas_Schuetting,Fassadenstein356_WFas_Schuetting,WFas_Schuetting,"91,01","33,71","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_660,1,FS357,Fassadenstein357,FS357_WFas_Schuetting,Fassadenstein357_WFas_Schuetting,WFas_Schuetting,"47,77","21,94","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_661,1,FS358,Fassadenstein358,FS358_WFas_Schuetting,Fassadenstein358_WFas_Schuetting,WFas_Schuetting,"15,28","21,94","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_662,1,FS359,Fassadenstein359,FS359_WFas_Schuetting,Fassadenstein359_WFas_Schuetting,WFas_Schuetting,"63,27","11,55","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_663,1,FS360,Fassadenstein360,FS360_WFas_Schuetting,Fassadenstein360_WFas_Schuetting,WFas_Schuetting,"59,06","15,11","0,00",44,3,0,0,0,0,0,0
SchB_ID160920113137_664,1,FS361,Fassadenstein361,FS361_WFas_Schuetting,Fassadenstein361_WFas_Schuetting,WFas_Schuetting,"40,67","33,74","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_665,1,FS362,Fassadenstein362,FS362_WFas_Schuetting,Fassadenstein362_WFas_Schuetting,WFas_Schuetting,"40,67","42,93","0,00",45,3,0,0,0,0,0,0
SchB_ID160920113137_666,1,FS363,Fassadenstein363,FS363_WFas_Schuetting,Fassadenstein363_WFas_Schuetting,WFas_Schuetting,"28,55","34,75","0,00",44,3,0,0,0,0,0,0
SchB_ID160920113137_667,1,FS364,Fassadenstein364,FS364_WFas_Schuetting,Fassadenstein364_WFas_Schuetting,WFas_Schuetting,"59,06","22,73","0,00",44,3,0,0,0,0,0,0
SchB_ID160920113137_669,1,FS365,Fassadenstein365,FS365_WFas_Schuetting,Fassadenstein365_WFas_Schuetting,WFas_Schuetting,"21,89","38,55","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_670,1,FS366,Fassadenstein366,FS366_WFas_Schuetting,Fassadenstein366_WFas_Schuetting,WFas_Schuetting,"58,56","29,57","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_671,1,FS367,Fassadenstein367,FS367_WFas_Schuetting,Fassadenstein367_WFas_Schuetting,WFas_Schuetting,"65,18","29,57","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_675,1,FS368,Fassadenstein368,FS368_WFas_Schuetting,Fassadenstein368_WFas_Schuetting,WFas_Schuetting,"44,90","14,11","0,00",47,3,0,0,0,0,0,0
SchB_ID160920113137_676,1,FS369,Fassadenstein369,FS369_WFas_Schuetting,Fassadenstein369_WFas_Schuetting,WFas_Schuetting,"42,85","33,35","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_677,1,FS370,Fassadenstein370,FS370_WFas_Schuetting,Fassadenstein370_WFas_Schuetting,WFas_Schuetting,"72,36","33,35","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_678,1,FS371,Fassadenstein371,FS371_WFas_Schuetting,Fassadenstein371_WFas_Schuetting,WFas_Schuetting,"23,09","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_679,1,FS372,Fassadenstein372,FS372_WFas_Schuetting,Fassadenstein372_WFas_Schuetting,WFas_Schuetting,"30,27","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_680,1,FS373,Fassadenstein373,FS373_WFas_Schuetting,Fassadenstein373_WFas_Schuetting,WFas_Schuetting,"198,34","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_681,1,FS374,Fassadenstein374,FS374_WFas_Schuetting,Fassadenstein374_WFas_Schuetting,WFas_Schuetting,"41,95","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_682,1,FS375,Fassadenstein375,FS375_WFas_Schuetting,Fassadenstein375_WFas_Schuetting,WFas_Schuetting,"46,19","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_683,1,FS376,Fassadenstein376,FS376_WFas_Schuetting,Fassadenstein376_WFas_Schuetting,WFas_Schuetting,"28,85","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_684,1,FS377,Fassadenstein377,FS377_WFas_Schuetting,Fassadenstein377_WFas_Schuetting,WFas_Schuetting,"109,32","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_685,1,FS378,Fassadenstein378,FS378_WFas_Schuetting,Fassadenstein378_WFas_Schuetting,WFas_Schuetting,"26,86","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_686,1,FS379,Fassadenstein379,FS379_WFas_Schuetting,Fassadenstein379_WFas_Schuetting,WFas_Schuetting,"13,90","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_687,1,FS380,Fassadenstein380,FS380_WFas_Schuetting,Fassadenstein380_WFas_Schuetting,WFas_Schuetting,"28,94","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_688,1,FS381,Fassadenstein381,FS381_WFas_Schuetting,Fassadenstein381_WFas_Schuetting,WFas_Schuetting,"48,86","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_689,1,FS382,Fassadenstein382,FS382_WFas_Schuetting,Fassadenstein382_WFas_Schuetting,WFas_Schuetting,"198,73","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_690,1,FS383,Fassadenstein383,FS383_WFas_Schuetting,Fassadenstein383_WFas_Schuetting,WFas_Schuetting,"48,14","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_691,1,FS384,Fassadenstein384,FS384_WFas_Schuetting,Fassadenstein384_WFas_Schuetting,WFas_Schuetting,"38,15","25,90","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_692,1,FS385,Fassadenstein385,FS385_WFas_Schuetting,Fassadenstein385_WFas_Schuetting,WFas_Schuetting,"3,48","6,44","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_693,1,FS386,Fassadenstein386,FS386_WFas_Schuetting,Fassadenstein386_WFas_Schuetting,WFas_Schuetting,"12,52","8,41","0,00",48,3,0,0,0,0,0,0
SchB_ID160920113137_696,1,FS387,Fassadenstein387,FS387_WFas_Schuetting,Fassadenstein387_WFas_Schuetting,WFas_Schuetting,"27,43","15,97","0,00",44,3,0,0,0,0,0,0
SchB_ID160920113137_697,1,FS388,Fassadenstein388,FS388_WFas_Schuetting,Fassadenstein388_WFas_Schuetting,WFas_Schuetting,"32,13","38,55","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_698,1,FS389,Fassadenstein389,FS389_WFas_Schuetting,Fassadenstein389_WFas_Schuetting,WFas_Schuetting,"27,23","43,19","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_699,1,FS390,Fassadenstein390,FS390_WFas_Schuetting,Fassadenstein390_WFas_Schuetting,WFas_Schuetting,"43,83","14,11","0,00",47,3,0,0,0,0,0,0
SchB_ID160920113137_700,1,FS391,Fassadenstein391,FS391_WFas_Schuetting,Fassadenstein391_WFas_Schuetting,WFas_Schuetting,"31,58","14,11","0,00",47,3,0,0,0,0,0,0
SchB_ID160920113137_701,1,FS392,Fassadenstein392,FS392_WFas_Schuetting,Fassadenstein392_WFas_Schuetting,WFas_Schuetting,"18,42","14,11","0,00",47,3,0,0,0,0,0,0
SchB_ID160920113137_703,1,FS393,Fassadenstein393,FS393_WFas_Schuetting,Fassadenstein393_WFas_Schuetting,WFas_Schuetting,"56,94","13,44","0,00",0,3,0,0,0,0,0,0
SchB_ID160920113137_704,1,FS394,Fassadenstein394,FS394_WFas_Schuetting,Fassadenstein394_WFas_Schuetting,WFas_Schuetting,"45,55","6,76","0,00",43,3,0,0,0,0,0,0
SchB_ID160920113137_707,1,FS395,Fassadenstein395,FS395_WFas_Schuetting,Fassadenstein395_WFas_Schuetting,WFas_Schuetting,"50,25","47,59","0,00",44,3,0,0,0,0,0,0
SchB_ID160920113137_710,1,FS396,Fassadenstein396,FS396_WFas_Schuetting,Fassadenstein396_WFas_Schuetting,WFas_Schuetting,"23,16","45,05","0,00",44,3,0,0,0,0,0,0
SchB_ID160920113137_711,1,FS397,Fassadenstein397,FS397_WFas_Schuetting,Fassadenstein397_WFas_Schuetting,WFas_Schuetting,"12,64","15,97","0,00",44,3,0,0,0,0,0,0
SchB_ID160920113137_712,1,FS398,Fassadenstein398,FS398_WFas_Schuetting,Fassadenstein398_WFas_Schuetting,WFas_Schuetting,"41,29","13,56","0,00",0,3,0,0,0,0,0,0
SchB_ID160920113137_713,1,FS399,Fassadenstein399,FS399_WFas_Schuetting,Fassadenstein399_WFas_Schuetting,WFas_Schuetting,"71,02","14,11","0,00",47,3,0,0,0,0,0,0
SchB_ID160920113137_714,1,FS400,Fassadenstein400,FS400_WFas_Schuetting,Fassadenstein400_WFas_Schuetting,WFas_Schuetting,"22,16","14,11","0,00",47,3,0,0,0,0,0,0
SchB_ID160920113137_718,1,FS401,Fassadenstein401,FS401_WFas_Schuetting,Fassadenstein401_WFas_Schuetting,WFas_Schuetting,"68,61","27,27","0,00",43,3,0,0,0,0,0,0
SchB_ID160920113137_719,1,FS402,Fassadenstein402,FS402_WFas_Schuetting,Fassadenstein402_WFas_Schuetting,WFas_Schuetting,"31,10","18,00","0,00",44,3,0,0,0,0,0,0
SchB_ID160920113137_720,1,FS403,Fassadenstein403,FS403_WFas_Schuetting,Fassadenstein403_WFas_Schuetting,WFas_Schuetting,"39,53","43,39","0,00",44,3,0,0,0,0,0,0
SchB_ID160920113137_722,1,FS404,Fassadenstein404,FS404_WFas_Schuetting,Fassadenstein404_WFas_Schuetting,WFas_Schuetting,"51,14","26,54","0,00",46,3,0,0,0,0,0,0
SchB_ID160920113137_729,1,FS405,Fassadenstein405,FS405_WFas_Schuetting,Fassadenstein405_WFas_Schuetting,WFas_Schuetting,"28,63","14,11","0,00",47,3,0,0,0,0,0,0
SchB_ID160920113137_730,1,FS406,Fassadenstein406,FS406_WFas_Schuetting,Fassadenstein406_WFas_Schuetting,WFas_Schuetting,"28,77","28,30","0,00",43,3,0,0,0,0,0,0
SchB_ID160920113137_731,1,FS407,Fassadenstein407,FS407_WFas_Schuetting,Fassadenstein407_WFas_Schuetting,WFas_Schuetting,"75,99","28,30","0,00",43,3,0,0,0,0,0,0
SchB_ID160920113137_732,1,FS408,Fassadenstein408,FS408_WFas_Schuetting,Fassadenstein408_WFas_Schuetting,WFas_Schuetting,"48,52","9,02","0,00",47,3,0,0,0,0,0,0
