ID,Hierarchy,Object,Name,ShortName,LongName,Link,Length,Height,Level,Section,WIND_Left,WIND_Right,WIND_Top,WIND_Bott,WIND_Ks_Left,WIND_Ks_Right,WIND_Ks_Top,WIND_Ks_Bott,Arch
THAnt_ID1608101520_835,1,MS37,Mittelrisalitstein78,MS37_MRis_OFas_RhANT,Mittelrisalitstein78_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,08","0,55",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_836,1,MS36,Mittelrisalitstein77,MS36_MRis_OFas_RhANT,Mittelrisalitstein77_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,08","0,53",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_610,1,FeL23,Laibungsstein23,FeL23_Fe27_OFas_RhANT,Laibungsstein23_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,08","0,19",3,9,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_214,1,FeL8,Laibungsstein8,FeL8_Fe07_OFas_RhANT,Laibungsstein8_Fen07_OFas_RhANT,Fe07_OFas_RhANT,"0,09","0,20",2,7,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_229,1,FeL10,Laibungsstein10,FeL10_Fe08_OFas_RhANT,Laibungsstein10_Fen08_OFas_RhANT,Fe08_OFas_RhANT,"0,09","0,20",2,8,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_616,1,FeL8,Laibungsstein8,FeL8_Fe27_OFas_RhANT,Laibungsstein8_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,09","0,57",3,9,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_618,1,FeL6,Laibungsstein6,FeL6_Fe27_OFas_RhANT,Laibungsstein6_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,09","0,39",3,9,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_844,1,MS28,Mittelrisalitstein34,MS28_MRis_OFas_RhANT,Mittelrisalitstein34_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,10","1,19",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_858,1,MS14,Mittelrisalitstein14,MS14_MRis_OFas_RhANT,Mittelrisalitstein14_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,10","0,67",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_871,1,MS1,Mittelrisalitstein1,MS1_MRis_OFas_RhANT,Mittelrisalitstein1_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,10","0,55",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_831,1,MS41,Mittelrisalitstein55,MS41_MRis_OFas_RhANT,Mittelrisalitstein55_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,10","0,95",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_834,1,MS38,Mittelrisalitstein52,MS38_MRis_OFas_RhANT,Mittelrisalitstein52_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,10","0,22",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_94,1,FeL5,Laibungsstein5,FeL5_Fe01_OFas_RhANT,Laibungsstein5_Fen01_OFas_RhANT,Fe01_OFas_RhANT,"0,10","0,21",2,1,0,1,0,0,0,0,0,0,0
